Date,消費支出,平均消費性向,実収入,可処分所得,小売業販売額
2014-02,266610,73.9,479268,398281,
2014-03,345443,107.2,438145,358682,
2014-04,302141,88.4,463964,373090,
2014-05,271411,91.3,421117,320940,
2014-06,272791,52,710375,568874,
2014-07,280293,69.5,555276,448429,
2014-08,282124,79.8,463810,383294,
2014-09,275226,88.8,421809,341855,
2014-10,288579,78.1,488273,404682,
2014-11,280271,86.9,431543,352340,
2014-12,332363,46.2,924911,773622,
2015-01,289847,89.3,440226,359029,
2015-02,265632,71.6,488519,406800,
2015-03,317579,96.5,449243,364614,
2015-04,300480,86.9,476880,384710,
2015-05,286433,96.8,430325,327875,
2015-06,268652,50.4,733589,581279,
2015-07,280471,66.7,587156,472058,
2015-08,291156,81.1,475369,391352,
2015-09,274309,88.4,415467,338098,
2015-10,282401,76.5,485330,404876,
2015-11,273268,85.5,425692,345012,
2015-12,318254,45.3,900229,751540,
2016-01,280973,87.8,434330,355700,
2016-02,269774,75.5,478624,394411,
2016-03,300889,90.6,450698,369306,
2016-04,298520,87.1,480098,388135,
2016-05,281827,97.9,426805,313379,
2016-06,261452,46.9,731099,589676,
2016-07,278067,64.6,574227,468137,
2016-08,276338,77,480083,391693,
2016-09,267119,85.3,424553,347541,
2016-10,281961,75.5,485827,404859,
2016-11,270848,83.6,432415,351894,
2016-12,318488,45.4,924920,769634,
2017-01,279249,85.2,441064,360495,
2017-02,260644,74.1,484038,402541,
2017-03,297942,92.9,445607,363023,
2017-04,295929,85.9,472047,384297,
2017-05,283056,102.3,421497,308120,
2017-06,268802,49.9,735477,593992,
2017-07,279197,64.2,598042,480878,
2017-08,280320,75.2,485099,401134,
2017-09,268802,82.3,437497,358526,
2017-10,282872,75.5,501416,415634,
2017-11,277361,83.4,443186,361293,
2017-12,322157,45,940875,783054,
2018-01,289703,88.2,442129,360360,
2018-02,265614,68.8,503989,420059,
2018-03,301230,89.7,453676,373320,
2018-04,294439,82.7,495370,405241,
2018-05,281307,96.3,439089,324446,
2018-06,267641,44.6,808716,654961,
2018-07,283387,63.9,605746,485326,
2018-08,292481,75.7,510437,422636,
2018-09,271273,82.8,447459,365446,
2018-10,290396,73.6,515729,428519,
2018-11,281041,81.7,455644,371282,
2018-12,329271,41.3,1026628,849904,
2019-01,296345,84.8,471124,384005,
2019-02,271232,69.4,526271,435994,
2019-03,309274,88.9,481035,392512,
2019-04,301136,78.3,525927,430702,
2019-05,300901,98.3,457376,337967,
2019-06,276882,43.5,880805,709195,
2019-07,288026,64,626488,501522,
2019-08,296327,75.4,521571,431804,
2019-09,300609,89.1,457427,370189,
2019-10,279671,68.4,536075,446417,
2019-11,278765,78,475548,389935,
2019-12,321380,38.8,1074143,889500,
2020-01,287173,78.9,484697,395821,
2020-02,271735,67.4,537666,450124,
2020-03,292214,81,490589,397872,
2020-04,267922,70.9,531017,428397,
2020-05,252017,73.3,502403,383245,
2020-06,273699,35.4,1019095,843846,
2020-07,266897,51.4,685717,561673,
2020-08,276360,69.8,528891,436280,
2020-09,269863,79.8,469235,380986,
2020-10,283508,68.5,546786,455775,
2020-11,278718,79.5,473294,383993,
2020-12,315007,38.6,1045032,865654,
2021-01,267760,77.5,469254,383941,
2021-02,252451,63,535392,445367,
2021-03,309800,87.5,484914,393303,
2021-04,301043,77,543063,439779,
2021-05,281063,86.4,489019,367866,
2021-06,260285,38.8,904078,724719,
2021-07,267710,56.2,668062,538529,
2021-08,266638,65,555009,452559,
2021-09,265306,75.9,481800,389944,
2021-10,281996,68.2,549269,458643,
2021-11,277029,77.2,481838,393809,
2021-12,317206,37.3,1102091,923719,
2022-01,287801,79.4,479805,396098,
2022-02,257887,63.3,540712,450912,
2022-03,307261,83.3,503128,412821,
2022-04,304510,78.8,539738,436850,
2022-05,287687,87.6,489745,359511,
2022-06,276885,40.8,916705,736070,
2022-07,285313,60.2,657263,527343,
2022-08,289974,70.4,563963,457774,
2022-09,280999,77.7,499438,403991,
2022-10,298006,70,568282,469800,
2022-11,285947,75.5,502259,407971,
2022-12,328114,37.2,1150808,951823,
2023-01,301646,81.8,495706,404924,
2023-02,272214,64.4,557655,463906,
2023-03,312758,83.5,498581,407185,
2023-04,303076,73.9,553975,452288,
2023-05,286443,90.2,469992,345527,
2023-06,275545,41.1,898984,725550,
2023-07,281736,59.7,637866,513069,
2023-08,293161,69.3,544043,449278,
2023-09,282969,78.2,487499,398754,
2023-10,301974,71.3,559898,463445,
2023-11,286922,74.7,494181,403699,13836
2023-12,329518,38.4,1099805,908391,15553
2024-01,289467,76.7,497383,408050,13118
2024-02,279868,66.1,561495,465712,12944
2024-03,318713,84.3,513734,419572,14686
2024-04,313300,76.2,566457,453011,13469
2024-05,290328,84.7,500231,376084,13485
2024-06,280888,36.9,957457,813616,13687
2024-07,290931,55,694483,568191,14313
2024-08,297487,66.1,574334,482029,13808
2024-09,287963,76.6,493942,402605,13510
2024-10,305819,67.6,580675,484600,13815
2024-11,295518,74.9,514409,422337,14222
2024-12,352633,38.9,1179259,975024,16097
2025-01,305521,78.9,514877,419972,12728
2025-02,290511,66.2,571993,474345,
2025-03,339232,89.9,524343,426178,
2025-04,325717,76.4,589528,475520,
2025-05,316085,87.6,522318,401312,
2025-06,295419,41.6,976268,776288,
2025-07,305694,60.5,701283,559705,
2025-08,313977,68.6,608578,506538,
2025-09,303214,82.1,510935,413961,
2025-10,306872,67.9,599845,499170,
2025-11,314242,82.3,519304,425503,
2025-12,351522,37,1207545,1010407,
2026-01,307584,77.4,530520,432712,
2026-02,289391,65.2,589038,490520,
2026-03,334701,82.7,557663,453448,
2026-04,328969,73.9,612163,493684,
2026-05,320345,86.1,534893,410713,
